confounder,n_false_positives,n_events,fp_rate,share_of_alert_budget
ci_automation_burst,293,669,0.43796711509715996,0.20988538681948424
(none - ordinary benign),235,136363,0.0017233413755930861,0.1683381088825215
cert_retry_loop,105,115,0.9130434782608695,0.07521489971346705
password_reset_storm,76,115,0.6608695652173913,0.054441260744985676
shared_jump_host,9,624,0.014423076923076924,0.0064469914040114614
office_nat,6,574,0.010452961672473868,0.004297994269340974
project_onboarding,6,217,0.027649769585253458,0.004297994269340974
business_travel,4,58,0.06896551724137931,0.0028653295128939827
os_patch,4,121,0.03305785123966942,0.0028653295128939827
credential_rotation,2,185,0.010810810810810811,0.0014326647564469914
