confounder,n_false_positives,n_events,fp_rate,share_of_alert_budget
(none - ordinary benign),181,179271,0.0010096446162513736,0.09526315789473684
ci_automation_burst,64,2647,0.024178315073668303,0.03368421052631579
cert_retry_loop,22,910,0.024175824175824177,0.011578947368421053
shared_jump_host,6,1121,0.0053523639607493305,0.003157894736842105
project_onboarding,2,824,0.0024271844660194173,0.0010526315789473684
oncall_rotation,2,409,0.004889975550122249,0.0010526315789473684
device_refresh,1,625,0.0016,0.0005263157894736842
os_patch,1,895,0.0011173184357541898,0.0005263157894736842
