confounder,n_false_positives,n_events,fp_rate,share_of_alert_budget
(none - ordinary benign),106,124872,0.0008488692421039144,0.0803030303030303
ci_automation_burst,19,1293,0.014694508894044857,0.014393939393939395
cert_retry_loop,13,480,0.027083333333333334,0.009848484848484848
shared_jump_host,11,921,0.011943539630836048,0.008333333333333333
maintenance_window,2,436,0.0045871559633027525,0.0015151515151515152
os_patch,2,665,0.0030075187969924814,0.0015151515151515152
project_onboarding,1,885,0.0011299435028248588,0.0007575757575757576
office_nat,1,765,0.00130718954248366,0.0007575757575757576
