confounder,n_false_positives,n_events,fp_rate,share_of_alert_budget
(none - ordinary benign),259,179290,0.0014445869819844945,0.14060803474484257
ci_automation_burst,247,1590,0.15534591194968553,0.13409337676438654
cert_retry_loop,199,280,0.7107142857142857,0.10803474484256244
password_reset_storm,25,107,0.2336448598130841,0.013572204125950055
business_travel,6,150,0.04,0.003257328990228013
office_nat,1,384,0.0026041666666666665,0.0005428881650380022
project_onboarding,1,399,0.002506265664160401,0.0005428881650380022
device_refresh,1,520,0.0019230769230769232,0.0005428881650380022
