fit,eval,prevalence,precision_at_1pct,recall_at_1pct,recall_ceiling,r_precision,pr_auc,pr_auc_baseline,incident_recall,incident_precision,incident_precision_ceiling,alerts_per_day,median_ttd_h,n_campaigns,recall_brute_force,recall_credential_stuffing,recall_device_spoofing,recall_impossible_travel,recall_lateral_movement,recall_low_and_slow,insider_drift_HIGH,insider_drift_MEDIUM,low_and_slow_HIGH,delta,split
seed1_delta00,seed3_delta00,0.024418736104307195,0.9645817633760362,0.3950617283950617,0.4095216049382716,0.6,0.6985115597452769,0.024418736104307195,0.6,0.07142857142857142,0.11904761904761904,9.000675273876574,0.06516211649819444,60.0,0.3,0.9,0.7,0.1,0.7,0.9,0.034519956850053934,0.7971952535059331,0.41675977653631285,0.0,dev
seed1_delta025,seed3_delta025,0.02089568070066445,0.9378787878787879,0.44887599709934733,0.47856780275562,0.5949963741841915,0.6872986158530845,0.02089568070066445,0.7333333333333333,0.0873015873015873,0.11904761904761904,9.000675273876574,0.025475494198472223,60.0,0.5,1.0,0.7,0.2,1.0,1.0,0.055858310626702996,0.7724795640326976,0.450920245398773,0.25,dev
seed1_delta05,seed3_delta05,0.01991195702411711,0.8674242424242424,0.4356925418569254,0.502210806697108,0.6149162861491628,0.6425577747952277,0.01991195702411711,0.8166666666666667,0.09722222222222222,0.11904761904761904,9.000675273876574,0.0,60.0,0.6,1.0,0.8,0.6,1.0,0.9,0.04321728691476591,0.8667466986794717,0.43201754385964913,0.5,dev
seed1_delta075,seed3_delta075,0.01759735963558104,0.7422053231939163,0.42178046672428693,0.5682670700086431,0.541486603284356,0.5501647440767208,0.01759735963558104,0.5666666666666667,0.06746031746031746,0.11904761904761904,9.000675273876574,0.0,60.0,0.1,0.9,0.6,0.2,1.0,0.6,0.03048780487804878,0.7408536585365854,0.2611683848797251,0.75,dev
seed1_delta10,seed3_delta10,0.015431109483034937,0.5606407322654462,0.36350148367952523,0.6480415430267062,0.4698318496538081,0.39248160086063427,0.015431109483034937,0.65,0.07738095238095238,0.11904761904761904,9.000675273876574,0.0,60.0,0.3,1.0,0.8,0.3,1.0,0.5,0.023483365949119372,0.9001956947162426,0.10967741935483871,1.0,dev
