precision_at_1pct,r_precision,pr_auc,incident_recall,recall_brute_force,recall_credential_stuffing,recall_device_spoofing,recall_impossible_travel,recall_lateral_movement,recall_low_and_slow,config,removed,d_precision_at_1pct,d_r_precision,d_pr_auc,d_incident_recall,eval
0.8674242424242424,0.6149162861491628,0.6425577747952277,0.8166666666666667,0.6,1.0,0.8,0.6,1.0,0.9,full (all layers),-,0.0,0.0,0.0,0.0,seed3_delta05
0.4765151515151515,0.4550989345509893,0.33389325479907245,0.5833333333333334,0.2,0.8,0.3,0.3,1.0,0.9,without L0 deterministic rules,6 signals,-0.39090909090909093,-0.1598173515981735,-0.30866451999615524,-0.23333333333333328,seed3_delta05
0.8924242424242425,0.6221461187214612,0.6103913431716497,0.6833333333333333,0.6,1.0,0.6,0.3,0.8,0.8,without L1 per-entity baseline,8 signals,0.025000000000000022,0.007229832572298367,-0.03216643162357802,-0.1333333333333333,seed3_delta05
0.8916666666666667,0.6137747336377474,0.6267388431634171,0.8166666666666667,0.6,1.0,0.8,0.6,1.0,0.9,without L2 sequence,1 signals,0.024242424242424288,-0.0011415525114154557,-0.015818931631810584,0.0,seed3_delta05
0.7378787878787879,0.6076864535768646,0.5516300651874648,0.7,0.3,0.9,0.7,0.6,1.0,0.7,without L3 graph / long window,6 signals,-0.12954545454545452,-0.007229832572298256,-0.09092770960776286,-0.1166666666666667,seed3_delta05
0.849026827985271,0.5562656293414837,0.6102129198239141,0.7294117647058823,0.3333333333333333,1.0,0.7142857142857143,0.5,0.9285714285714286,0.9285714285714286,full (all layers),-,0.0,0.0,0.0,0.0,seed101_delta05
0.3103629668595476,0.30980828007779937,0.19696064659374024,0.5294117647058824,0.0,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.9285714285714286,1.0,without L0 deterministic rules,6 signals,-0.5386638611257233,-0.24645734926368434,-0.4132522732301739,-0.19999999999999996,seed101_delta05
0.8616517622304051,0.5684912475687691,0.6034376521593252,0.7058823529411765,0.4,1.0,0.7857142857142857,0.35714285714285715,0.7857142857142857,0.9285714285714286,without L1 per-entity baseline,8 signals,0.012624934245134112,0.012225618227285406,-0.006775267664588913,-0.0235294117647058,seed101_delta05
0.8574434508153603,0.5529313698249514,0.6039642371740754,0.7058823529411765,0.3333333333333333,1.0,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.9285714285714286,without L2 sequence,1 signals,0.00841662283008937,-0.003334259516532323,-0.006248682649838688,-0.0235294117647058,seed101_delta05
0.6196738558653341,0.5545984995832176,0.5009728791485429,0.6588235294117647,0.06666666666666667,1.0,0.6428571428571429,0.5,0.9285714285714286,0.8571428571428571,without L3 graph / long window,6 signals,-0.22935297211993688,-0.001667129758266106,-0.10924004067537119,-0.07058823529411762,seed101_delta05
0.8639633747547416,0.5065579581708614,0.5717238051986672,0.7638888888888888,,1.0,0.5714285714285714,0.3333333333333333,1.0,0.9285714285714286,full (all layers),-,0.0,0.0,0.0,0.0,seed102_delta05
0.4434270765206017,0.4384969868840837,0.3757378825164792,0.6388888888888888,,0.8666666666666667,0.14285714285714285,0.2,1.0,1.0,without L0 deterministic rules,6 signals,-0.4205362982341399,-0.06806097128677768,-0.19598592268218795,-0.125,seed102_delta05
0.8436886854153042,0.4976958525345622,0.5213886079285588,0.7083333333333334,,0.9333333333333333,0.8571428571428571,0.06666666666666667,0.8571428571428571,0.8571428571428571,without L1 per-entity baseline,8 signals,-0.020274689339437435,-0.008862105636299134,-0.05033519727010838,-0.05555555555555547,seed102_delta05
0.8796599084368869,0.500177242112726,0.5530016169195158,0.7916666666666666,,1.0,0.7142857142857143,0.3333333333333333,1.0,0.9285714285714286,without L2 sequence,1 signals,0.015696533682145297,-0.006380716058135394,-0.018722188279151397,0.02777777777777779,seed102_delta05
0.6291693917593199,0.4991137894363701,0.443402504083948,0.6388888888888888,,0.9333333333333333,0.5714285714285714,0.3333333333333333,1.0,0.35714285714285715,without L3 graph / long window,6 signals,-0.23479398299542176,-0.007444168734491274,-0.12832130111471918,-0.125,seed102_delta05
0.47421203438395415,0.5896927651139743,0.6115536549821485,0.8,1.0,1.0,0.25,0.5,1.0,1.0,full (all layers),-,0.0,0.0,0.0,0.0,seed103_delta05
0.2664756446991404,0.2537165510406343,0.2139881216531806,0.64,0.2,1.0,0.25,0.5,1.0,1.0,without L0 deterministic rules,6 signals,-0.20773638968481373,-0.33597621407334,-0.39756553332896793,-0.16000000000000003,seed103_delta05
0.44126074498567336,0.5896927651139743,0.6206577099849824,0.84,1.0,1.0,1.0,0.0,1.0,1.0,without L1 per-entity baseline,8 signals,-0.03295128939828079,0.0,0.009104055002833844,0.039999999999999925,seed103_delta05
0.4584527220630373,0.5758176412289395,0.6025564224254847,0.92,1.0,1.0,0.75,0.75,1.0,1.0,without L2 sequence,1 signals,-0.015759312320916874,-0.013875123885034757,-0.008997232556663848,0.12,seed103_delta05
0.4663323782234957,0.5807730426164519,0.5081692252747239,0.8,1.0,1.0,0.25,0.5,1.0,1.0,without L3 graph / long window,6 signals,-0.007879656160458437,-0.008919722497522375,-0.10338442970742467,0.0,seed103_delta05
