confounder,n_false_positives,n_events,fp_rate,share_of_alert_budget
(none - ordinary benign),163,124436,0.0013099103153428268,0.12395437262357414
cert_retry_loop,101,480,0.21041666666666667,0.07680608365019011
ci_automation_burst,52,1293,0.04021655065738593,0.03954372623574144
shared_jump_host,21,921,0.02280130293159609,0.01596958174904943
password_reset_storm,5,216,0.023148148148148147,0.0038022813688212928
device_refresh,3,636,0.0047169811320754715,0.0022813688212927757
maintenance_window,2,436,0.0045871559633027525,0.001520912547528517
office_nat,1,765,0.00130718954248366,0.0007604562737642585
