confounder,n_false_positives,n_events,fp_rate,share_of_alert_budget
(none - ordinary benign),603,170149,0.0035439526532627286,0.3483535528596187
cert_retry_loop,174,192,0.90625,0.10051993067590988
ci_automation_burst,133,262,0.5076335877862596,0.07683419988445984
password_reset_storm,47,67,0.7014925373134329,0.027151935297515885
business_travel,14,54,0.25925925925925924,0.008087810514153668
project_onboarding,12,331,0.03625377643504532,0.006932409012131715
os_patch,9,284,0.03169014084507042,0.005199306759098787
shared_jump_host,7,612,0.011437908496732025,0.004043905257076834
office_nat,7,413,0.01694915254237288,0.004043905257076834
credential_rotation,1,102,0.00980392156862745,0.0005777007510109763
device_refresh,1,225,0.0044444444444444444,0.0005777007510109763
